DBN,name,year
84K355,williamsburg collegiate charter school,2015
84X718,bronx charter school for better learning,2014
75X754,j. m. rapport school career development,2016
09X011,ps 011 highbridge,2006
22K535,leon m. goldstein high school for the sciences,2008
30Q078,ps 078                                          ,2012
05M046,ps 046 arthur tappan,2008
26Q094,ps 094 david d porter,2008
10X054,p.s./i.s. 54,2016
23K150,ps 150 christopher,2011
18K232,is 232 the winthrop,2009
17K547,brooklyn academy of science and the environment,2018
05M157,the urban assembly school for global commerce,2014
11X144,j.h.s. 144 michelangelo,2016
31R059,the harbor view school,2017
13K011,p.s. 011 purvis j. behan,2017
22K222,p.s. 222 katherine r. snyder,2018
31R058,s.s. columbia school,2007
17K161,ps 161 the crown,2007
17K539,high school for service & learning at erasmus,2017
01M110,ps 110 florence nightingale,2009
22K236,p.s. 236 mill basin,2015
10X549,discovery high school,2008
16K028,ps 028 the warren,2010
04M012,tag young scholars                              ,2012
02M439,manhattan village academy,2009
01M140,p.s. 140 nathan straus,2016
17K408,academy of hospitality and tourism,2014
10X213,bronx engineering and technology academy,2011
05M304,mott hall high school,2014
23K514,frederick douglass academy vii high school,2016
11X105,p.s. 105 sen abraham bernstein,2015
10X279,ps 279 capt manuel rivera jr.,2008
09X058,ps 058,2007
17K590,middle college high school at medgar evers colle,2008
84K473,williamsburg charter high school,2014
13K575,bedford stuyvesant preparatory high school,2008
32K349,i.s. 349 math science & tech,2011
08X071,ps 071 rose e scala,2009
02M655,life sciences secondary school,2011
84K774,achievement first apollo charter school,2016
26Q188,ps 188 kingsbury,2011
01M188,ps 188 the island school                        ,2012
07X359,concourse village elementary school,2015
75X469,p469x - the bronx school for continuous learners,2016
02M280,manhattan early college school for advertising,2018
02M425,leadership and public service high school       ,2012
14K319,ps 319,2006
13K256,p.s. 256 benjamin banneker,2014
14K610,automotive high school,2016
11X111,p.s. 111 seton falls,2016
75Q277,the riverview school,2018
18K563,itava it takes a village academy               ,2012
27Q106,ps 106,2010
05M194,ps 194 countee cullen,2007
12X214,p.s. 214,2014
26Q435,martin van buren high school,2011
21K128,ps 128 bensonhurst,2009
01M345,collaborative academy of science,2009
09X063,ps 063 author's academy,2007
24Q014,p.s. 014 fairview,2014
02M460,washington irving high school,2008
84K759,canarsie ascend charter school,2014
10X549,discovery high school,2011
03M191,the riverside school for makers and artists,2018
28Q117,p.s. 117 j. keld / briarwood school,2018
11X288,collegiate institute for math and science,2018
27Q309,academy of medical technology: a college board s,2011
02M135,the urban assembly school for emergency management,2015
29Q176,p.s. 176 cambria heights,2018
06M189,p.s. 189,2014
09X219,is 219 new venture school,2008
26Q435,martin van buren high school,2016
21K216,ps 216 arturo toscanini                         ,2012
01M015,p.s. 015 roberto clemente,2018
27Q282,knowledge and power preparatory academy vi,2017
08X125,jhs 125 henry hudson,2010
32K291,jhs 291 roland hayes,2010
14K071,juan morel campos secondary school,2006
15K169,p.s. 169 sunset park,2015
23K518,kappa v (knowledge and power preparatory academy),2017
31R026,p.s. 026 the carteret school,2015
21K303,is 303 herbert s. eisenberg,2011
24Q058,p.s. 58 - the school of heroes,2016
22K255,ps 255 barbara reing school                     ,2012
03M334,the anderson school,2006
22K405,midwood high school,2016
27Q114,p.s./m.s. 114 belle harbor,2014
84M336,kipp infinity charter school,2016
12X245,new day academy,2009
17K091,ps 091 the albany ave. school                   ,2012
07X427,community school for social justice,2014
30Q300,the 30th avenue school (g&t citywide),2016
08X424,the hunts point school                          ,2012
84K689,citizens of the world charter school 1 williamsbur,2015
23K599,brooklyn landmark elementary school,2016
31R455,tottenville high school,2011
24Q530,international high school at laguardia community,2010
84Q372,growing up green charter school ii,2017
02M529,jacqueline kennedy onassis high school,2015
75X012,p.s. x012 lewis and clark school,2014
13K305,ps 305 dr peter ray,2010
07X522,bronx design and construction academy           ,2012
16K669,research and service high school,2017
21K101,p.s. 101 the verrazano,2017
12X478,the cinema school,2018
17K006,ps 006,2006
26Q430,francis lewis high school,2006
10X091,p.s. 091 bronx,2016
21K153,ps 153 homecrest,2009
20K490,fort hamilton high school,2006
09X365,academy for language and technology,2008
32K383,j.h.s. 383 philippa schuyler,2014
02M260,ms 260 clinton schl writers &                   ,2012
13K412,brooklyn community arts & media high school (bcam),2016
24Q143,ps 143 louis armstrong                          ,2012
75R025,south richmond high school i.s./p.s. 25,2016
30Q084,p.s. 084 steinway,2015
23K599,brooklyn landmark elementary school,2017
32K554,all city leadership secondary school,2010
13K020,ps 020 clinton hill,2006
75X723,p.s. 723,2014
29Q156,ps 156 laurelton,2006
31R027,i.s. 027 anning s. prall,2016
17K600,clara barton high school,2015
10X225,theatre arts production company school,2011
15K442,m.s. 442 carroll gardens school for innovation,2018
15K107,p.s. 107 john w. kimball,2015
05M302,kappa iv,2014
13K527,urban assembly institute of math and science for,2011
18K617,high school for innovation in advertising and medi,2014
04M406,global technology preparatory,2017
